name,mass,radius
WASP-99 b,772.3269,11.433
WTS-1 b,1274.44,16.7
WTS-2 b,355.9696,15.278
Wendelstein-1 b,188.15536,11.561
Wolf 503 b,6.27,2.043
XO-1 b,263.7989,12.778
XO-2 N b,179.89178,11.131
XO-3 b,2316.9807,15.805
XO-4 b,451.3186,14.011
XO-5 b,378.2,12.78
XO-7 b,225.34147,15.39
